date,no,engagement,LoB,rsk_idx_1,rsk_idx_2,rsk_idx_3,risk_index
2022-09-30,3,HD현대,IM1,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거1년),0
2022-09-30,3,HD현대,IM1,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거2년연속),0
2022-09-30,3,HD현대,IM1,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거1년),0
2022-09-30,3,HD현대,IM1,1 감리위험요소평가,1 표본심사,영업이익감소,0
2022-09-30,3,HD현대,IM1,1 감리위험요소평가,1 표본심사,매출액감소,0
2022-09-30,3,HD현대,IM1,1 감리위험요소평가,5 기타,당기손익과 영업 CF의 부호 상이,0
2022-09-30,3,HD현대,IM1,1 감리위험요소평가,2 직권지정,영업손실,0
2022-09-30,3,HD현대,IM1,1 감리위험요소평가,2 직권지정,부의 영업현금흐름,0
2022-09-30,3,HD현대,IM1,1 감리위험요소평가,3 관리종목,매출액기준,1
2022-09-30,3,HD현대,IM1,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,재무비율,0
2022-09-30,3,HD현대,IM1,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,"영업이익율, 순이익율 ()",0
2022-09-30,3,HD현대,IM1,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,비상장&자산 2조원 이상,0
2022-09-30,4,HL만도,IM3,1 감리위험요소평가,4 한계기업,코스닥 영업손실,0
2022-09-30,4,HL만도,IM3,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거2년연속),0
2022-09-30,4,HL만도,IM3,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거1년),0
2022-09-30,4,HL만도,IM3,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거2년연속),0
2022-09-30,4,HL만도,IM3,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거1년),0
2022-09-30,4,HL만도,IM3,1 감리위험요소평가,1 표본심사,영업이익감소,0
2022-09-30,4,HL만도,IM3,1 감리위험요소평가,1 표본심사,매출액감소,0
2022-09-30,4,HL만도,IM3,1 감리위험요소평가,5 기타,당기손익과 영업 CF의 부호 상이,1
2022-09-30,4,HL만도,IM3,1 감리위험요소평가,2 직권지정,영업손실,0
2022-09-30,4,HL만도,IM3,1 감리위험요소평가,2 직권지정,부의 영업현금흐름,0
2022-09-30,4,HL만도,IM3,1 감리위험요소평가,3 관리종목,매출액기준,1
2022-09-30,4,HL만도,IM3,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,재무비율,0
2022-09-30,4,HL만도,IM3,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,"영업이익율, 순이익율 ()",0
2022-09-30,4,HL만도,IM3,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,비상장&자산 2조원 이상,0
2022-09-30,5,LIG넥스원,IM2,1 감리위험요소평가,4 한계기업,코스닥 영업손실,0
2022-09-30,5,LIG넥스원,IM2,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거2년연속),0
2022-09-30,5,LIG넥스원,IM2,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거1년),0
2022-09-30,5,LIG넥스원,IM2,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거2년연속),0
2022-09-30,5,LIG넥스원,IM2,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거1년),0
2022-09-30,5,LIG넥스원,IM2,1 감리위험요소평가,1 표본심사,영업이익감소,0
2022-09-30,5,LIG넥스원,IM2,1 감리위험요소평가,1 표본심사,매출액감소,0
2022-09-30,5,LIG넥스원,IM2,1 감리위험요소평가,5 기타,당기손익과 영업 CF의 부호 상이,0
2022-09-30,5,LIG넥스원,IM2,1 감리위험요소평가,2 직권지정,영업손실,0
2022-09-30,5,LIG넥스원,IM2,1 감리위험요소평가,2 직권지정,부의 영업현금흐름,0
2022-09-30,5,LIG넥스원,IM2,1 감리위험요소평가,3 관리종목,매출액기준,0
2022-09-30,5,LIG넥스원,IM2,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,재무비율,1
2022-09-30,5,LIG넥스원,IM2,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,"영업이익율, 순이익율 ()",0
2022-09-30,5,LIG넥스원,IM2,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,비상장&자산 2조원 이상,0
2022-09-30,6,SIMPAC,IM4,1 감리위험요소평가,4 한계기업,코스닥 영업손실,0
2022-09-30,6,SIMPAC,IM4,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거2년연속),0
2022-09-30,6,SIMPAC,IM4,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거1년),0
2022-09-30,6,SIMPAC,IM4,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거2년연속),1
2022-09-30,6,SIMPAC,IM4,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거1년),1
2022-09-30,6,SIMPAC,IM4,1 감리위험요소평가,1 표본심사,영업이익감소,0
2022-09-30,6,SIMPAC,IM4,1 감리위험요소평가,1 표본심사,매출액감소,0
2022-09-30,6,SIMPAC,IM4,1 감리위험요소평가,5 기타,당기손익과 영업 CF의 부호 상이,0
2022-09-30,6,SIMPAC,IM4,1 감리위험요소평가,2 직권지정,영업손실,0
2022-09-30,6,SIMPAC,IM4,1 감리위험요소평가,2 직권지정,부의 영업현금흐름,0
2022-09-30,6,SIMPAC,IM4,1 감리위험요소평가,3 관리종목,매출액기준,0
2022-09-30,6,SIMPAC,IM4,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,재무비율,0
2022-09-30,6,SIMPAC,IM4,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,"영업이익율, 순이익율 ()",0
2022-09-30,6,SIMPAC,IM4,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,비상장&자산 2조원 이상,0
2022-09-30,7,SK가스,IGH,1 감리위험요소평가,4 한계기업,코스닥 영업손실,0
2022-09-30,7,SK가스,IGH,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거2년연속),0
2022-09-30,7,SK가스,IGH,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거1년),0
2022-09-30,7,SK가스,IGH,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거2년연속),0
2022-09-30,7,SK가스,IGH,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거1년),0
2022-09-30,7,SK가스,IGH,1 감리위험요소평가,1 표본심사,영업이익감소,0
2022-09-30,7,SK가스,IGH,1 감리위험요소평가,1 표본심사,매출액감소,0
2022-09-30,7,SK가스,IGH,1 감리위험요소평가,5 기타,당기손익과 영업 CF의 부호 상이,0
2022-09-30,7,SK가스,IGH,1 감리위험요소평가,2 직권지정,영업손실,0
2022-09-30,7,SK가스,IGH,1 감리위험요소평가,2 직권지정,부의 영업현금흐름,0
2022-09-30,7,SK가스,IGH,1 감리위험요소평가,3 관리종목,매출액기준,0
2022-09-30,7,SK가스,IGH,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,재무비율,1
2022-09-30,7,SK가스,IGH,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,"영업이익율, 순이익율 ()",0
2022-09-30,7,SK가스,IGH,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,비상장&자산 2조원 이상,0
2022-09-30,8,고려아연,IM1,1 감리위험요소평가,4 한계기업,코스닥 영업손실,0
2022-09-30,8,고려아연,IM1,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거2년연속),0
2022-09-30,8,고려아연,IM1,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거1년),0
2022-09-30,8,고려아연,IM1,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거2년연속),0
2022-09-30,8,고려아연,IM1,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거1년),0
2022-09-30,8,고려아연,IM1,1 감리위험요소평가,1 표본심사,영업이익감소,0
2022-09-30,8,고려아연,IM1,1 감리위험요소평가,1 표본심사,매출액감소,0
2022-09-30,8,고려아연,IM1,1 감리위험요소평가,5 기타,당기손익과 영업 CF의 부호 상이,0
2022-09-30,8,고려아연,IM1,1 감리위험요소평가,2 직권지정,영업손실,0
2022-09-30,8,고려아연,IM1,1 감리위험요소평가,2 직권지정,부의 영업현금흐름,0
2022-09-30,8,고려아연,IM1,1 감리위험요소평가,3 관리종목,매출액기준,1
2022-09-30,8,고려아연,IM1,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,재무비율,0
2022-09-30,8,고려아연,IM1,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,"영업이익율, 순이익율 ()",0
2022-09-30,8,고려아연,IM1,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,비상장&자산 2조원 이상,0
2022-09-30,9,극동유화,IM4,1 감리위험요소평가,4 한계기업,코스닥 영업손실,0
2022-09-30,9,극동유화,IM4,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거2년연속),0
2022-09-30,9,극동유화,IM4,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거1년),0
2022-09-30,9,극동유화,IM4,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거2년연속),0
2022-09-30,9,극동유화,IM4,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거1년),0
2022-09-30,9,극동유화,IM4,1 감리위험요소평가,1 표본심사,영업이익감소,0
2022-09-30,9,극동유화,IM4,1 감리위험요소평가,1 표본심사,매출액감소,0
2022-09-30,9,극동유화,IM4,1 감리위험요소평가,5 기타,당기손익과 영업 CF의 부호 상이,1
2022-09-30,9,극동유화,IM4,1 감리위험요소평가,2 직권지정,영업손실,0
2022-09-30,9,극동유화,IM4,1 감리위험요소평가,2 직권지정,부의 영업현금흐름,0
2022-09-30,9,극동유화,IM4,1 감리위험요소평가,3 관리종목,매출액기준,0
2022-09-30,9,극동유화,IM4,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,재무비율,0
2022-09-30,9,극동유화,IM4,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,"영업이익율, 순이익율 ()",0
2022-09-30,9,극동유화,IM4,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,비상장&자산 2조원 이상,0
2022-09-30,10,대덕,ICE3,1 감리위험요소평가,4 한계기업,코스닥 영업손실,0
2022-09-30,10,대덕,ICE3,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거2년연속),0
2022-09-30,10,대덕,ICE3,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거1년),0
2022-09-30,10,대덕,ICE3,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거2년연속),0
2022-09-30,10,대덕,ICE3,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거1년),0
2022-09-30,10,대덕,ICE3,1 감리위험요소평가,1 표본심사,영업이익감소,0
2022-09-30,10,대덕,ICE3,1 감리위험요소평가,1 표본심사,매출액감소,0
2022-09-30,10,대덕,ICE3,1 감리위험요소평가,5 기타,당기손익과 영업 CF의 부호 상이,0
2022-09-30,10,대덕,ICE3,1 감리위험요소평가,2 직권지정,영업손실,0
2022-09-30,10,대덕,ICE3,1 감리위험요소평가,2 직권지정,부의 영업현금흐름,0
2022-09-30,10,대덕,ICE3,1 감리위험요소평가,3 관리종목,매출액기준,1
2022-09-30,10,대덕,ICE3,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,재무비율,0
2022-09-30,10,대덕,ICE3,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,"영업이익율, 순이익율 ()",0
2022-09-30,10,대덕,ICE3,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,비상장&자산 2조원 이상,0
2022-09-30,11,대덕전자,ICE3,1 감리위험요소평가,4 한계기업,코스닥 영업손실,0
2022-09-30,11,대덕전자,ICE3,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거2년연속),0
2022-09-30,11,대덕전자,ICE3,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거1년),0
2022-09-30,11,대덕전자,ICE3,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거2년연속),0
2022-09-30,11,대덕전자,ICE3,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거1년),0
2022-09-30,11,대덕전자,ICE3,1 감리위험요소평가,1 표본심사,영업이익감소,0
2022-09-30,11,대덕전자,ICE3,1 감리위험요소평가,1 표본심사,매출액감소,0
2022-09-30,11,대덕전자,ICE3,1 감리위험요소평가,5 기타,당기손익과 영업 CF의 부호 상이,0
2022-09-30,11,대덕전자,ICE3,1 감리위험요소평가,2 직권지정,영업손실,0
2022-09-30,11,대덕전자,ICE3,1 감리위험요소평가,2 직권지정,부의 영업현금흐름,0
2022-09-30,11,대덕전자,ICE3,1 감리위험요소평가,3 관리종목,매출액기준,0
2022-09-30,11,대덕전자,ICE3,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,재무비율,0
2022-09-30,11,대덕전자,ICE3,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,"영업이익율, 순이익율 ()",0
2022-09-30,11,대덕전자,ICE3,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,비상장&자산 2조원 이상,0
2022-09-30,12,대웅제약,IM3,1 감리위험요소평가,4 한계기업,코스닥 영업손실,0
2022-09-30,12,대웅제약,IM3,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거2년연속),0
2022-09-30,12,대웅제약,IM3,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거1년),0
2022-09-30,12,대웅제약,IM3,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거2년연속),1
2022-09-30,12,대웅제약,IM3,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거1년),0
2022-09-30,12,대웅제약,IM3,1 감리위험요소평가,1 표본심사,영업이익감소,0
2022-09-30,12,대웅제약,IM3,1 감리위험요소평가,1 표본심사,매출액감소,0
2022-09-30,12,대웅제약,IM3,1 감리위험요소평가,5 기타,당기손익과 영업 CF의 부호 상이,0
2022-09-30,12,대웅제약,IM3,1 감리위험요소평가,2 직권지정,영업손실,0
2022-09-30,12,대웅제약,IM3,1 감리위험요소평가,2 직권지정,부의 영업현금흐름,0
2022-09-30,12,대웅제약,IM3,1 감리위험요소평가,3 관리종목,매출액기준,1
2022-09-30,12,대웅제약,IM3,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,재무비율,0
2022-09-30,12,대웅제약,IM3,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,"영업이익율, 순이익율 ()",0
2022-09-30,12,대웅제약,IM3,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,비상장&자산 2조원 이상,0
2022-09-30,13,동원산업,CM1,1 감리위험요소평가,4 한계기업,코스닥 영업손실,0
2022-09-30,13,동원산업,CM1,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거2년연속),0
2022-09-30,13,동원산업,CM1,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거1년),0
2022-09-30,13,동원산업,CM1,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거2년연속),0
2022-09-30,13,동원산업,CM1,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거1년),0
2022-09-30,13,동원산업,CM1,1 감리위험요소평가,1 표본심사,영업이익감소,0
2022-09-30,13,동원산업,CM1,1 감리위험요소평가,1 표본심사,매출액감소,0
2022-09-30,13,동원산업,CM1,1 감리위험요소평가,5 기타,당기손익과 영업 CF의 부호 상이,0
2022-09-30,13,동원산업,CM1,1 감리위험요소평가,2 직권지정,영업손실,0
2022-09-30,13,동원산업,CM1,1 감리위험요소평가,2 직권지정,부의 영업현금흐름,0
2022-09-30,13,동원산업,CM1,1 감리위험요소평가,3 관리종목,매출액기준,0
2022-09-30,13,동원산업,CM1,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,재무비율,0
2022-09-30,13,동원산업,CM1,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,"영업이익율, 순이익율 ()",0
2022-09-30,13,동원산업,CM1,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,비상장&자산 2조원 이상,0
2022-09-30,14,롯데케미칼,CM1,1 감리위험요소평가,4 한계기업,코스닥 영업손실,0
2022-09-30,14,롯데케미칼,CM1,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거2년연속),0
2022-09-30,14,롯데케미칼,CM1,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거1년),0
2022-09-30,14,롯데케미칼,CM1,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거2년연속),0
2022-09-30,14,롯데케미칼,CM1,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거1년),0
2022-09-30,14,롯데케미칼,CM1,1 감리위험요소평가,1 표본심사,영업이익감소,1
2022-09-30,14,롯데케미칼,CM1,1 감리위험요소평가,1 표본심사,매출액감소,0
2022-09-30,14,롯데케미칼,CM1,1 감리위험요소평가,5 기타,당기손익과 영업 CF의 부호 상이,1
2022-09-30,14,롯데케미칼,CM1,1 감리위험요소평가,2 직권지정,영업손실,0
2022-09-30,14,롯데케미칼,CM1,1 감리위험요소평가,2 직권지정,부의 영업현금흐름,0
2022-09-30,14,롯데케미칼,CM1,1 감리위험요소평가,3 관리종목,매출액기준,1
2022-09-30,14,롯데케미칼,CM1,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,재무비율,0
2022-09-30,14,롯데케미칼,CM1,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,"영업이익율, 순이익율 ()",0
2022-09-30,14,롯데케미칼,CM1,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,비상장&자산 2조원 이상,0
2022-09-30,15,명신산업,ICE3,1 감리위험요소평가,4 한계기업,코스닥 영업손실,0
2022-09-30,15,명신산업,ICE3,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거2년연속),0
2022-09-30,15,명신산업,ICE3,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거1년),0
2022-09-30,15,명신산업,ICE3,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거2년연속),0
2022-09-30,15,명신산업,ICE3,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거1년),0
2022-09-30,15,명신산업,ICE3,1 감리위험요소평가,1 표본심사,영업이익감소,0
2022-09-30,15,명신산업,ICE3,1 감리위험요소평가,1 표본심사,매출액감소,0
2022-09-30,15,명신산업,ICE3,1 감리위험요소평가,5 기타,당기손익과 영업 CF의 부호 상이,1
2022-09-30,15,명신산업,ICE3,1 감리위험요소평가,2 직권지정,영업손실,0
2022-09-30,15,명신산업,ICE3,1 감리위험요소평가,2 직권지정,부의 영업현금흐름,0
2022-09-30,15,명신산업,ICE3,1 감리위험요소평가,3 관리종목,매출액기준,0
2022-09-30,15,명신산업,ICE3,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,재무비율,0
2022-09-30,15,명신산업,ICE3,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,"영업이익율, 순이익율 ()",0
2022-09-30,15,명신산업,ICE3,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,비상장&자산 2조원 이상,0
2022-09-30,16,사조오양,CM2,1 감리위험요소평가,4 한계기업,코스닥 영업손실,0
2022-09-30,16,사조오양,CM2,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거2년연속),0
2022-09-30,16,사조오양,CM2,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거1년),0
2022-09-30,16,사조오양,CM2,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거2년연속),0
2022-09-30,16,사조오양,CM2,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거1년),0
2022-09-30,16,사조오양,CM2,1 감리위험요소평가,1 표본심사,영업이익감소,0
2022-09-30,16,사조오양,CM2,1 감리위험요소평가,1 표본심사,매출액감소,0
2022-09-30,16,사조오양,CM2,1 감리위험요소평가,5 기타,당기손익과 영업 CF의 부호 상이,1
2022-09-30,16,사조오양,CM2,1 감리위험요소평가,2 직권지정,영업손실,0
2022-09-30,16,사조오양,CM2,1 감리위험요소평가,2 직권지정,부의 영업현금흐름,0
2022-09-30,16,사조오양,CM2,1 감리위험요소평가,3 관리종목,매출액기준,0
2022-09-30,16,사조오양,CM2,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,재무비율,0
2022-09-30,16,사조오양,CM2,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,"영업이익율, 순이익율 ()",0
2022-09-30,16,사조오양,CM2,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,비상장&자산 2조원 이상,0
2022-09-30,17,삼성SDI,ICE2,1 감리위험요소평가,4 한계기업,코스닥 영업손실,0
2022-09-30,17,삼성SDI,ICE2,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거2년연속),0
2022-09-30,17,삼성SDI,ICE2,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거1년),0
2022-09-30,17,삼성SDI,ICE2,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거2년연속),0
2022-09-30,17,삼성SDI,ICE2,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거1년),0
2022-09-30,17,삼성SDI,ICE2,1 감리위험요소평가,1 표본심사,영업이익감소,0
2022-09-30,17,삼성SDI,ICE2,1 감리위험요소평가,1 표본심사,매출액감소,0
2022-09-30,17,삼성SDI,ICE2,1 감리위험요소평가,5 기타,당기손익과 영업 CF의 부호 상이,0
2022-09-30,17,삼성SDI,ICE2,1 감리위험요소평가,2 직권지정,영업손실,0
2022-09-30,17,삼성SDI,ICE2,1 감리위험요소평가,2 직권지정,부의 영업현금흐름,0
2022-09-30,17,삼성SDI,ICE2,1 감리위험요소평가,3 관리종목,매출액기준,0
2022-09-30,17,삼성SDI,ICE2,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,재무비율,0
2022-09-30,17,삼성SDI,ICE2,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,"영업이익율, 순이익율 ()",0
2022-09-30,17,삼성SDI,ICE2,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,비상장&자산 2조원 이상,0
2022-09-30,18,선진,IM4,1 감리위험요소평가,4 한계기업,코스닥 영업손실,0
2022-09-30,18,선진,IM4,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거2년연속),0
2022-09-30,18,선진,IM4,1 감리위험요소평가,1 표본심사,당기손익과 영업 CF 괴리(과거1년),0
2022-09-30,18,선진,IM4,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거2년연속),0
2022-09-30,18,선진,IM4,1 감리위험요소평가,1 표본심사,영업손익과 영업 CF 괴리(과거1년),0
2022-09-30,18,선진,IM4,1 감리위험요소평가,1 표본심사,영업이익감소,0
2022-09-30,18,선진,IM4,1 감리위험요소평가,1 표본심사,매출액감소,0
2022-09-30,18,선진,IM4,1 감리위험요소평가,5 기타,당기손익과 영업 CF의 부호 상이,1
2022-09-30,18,선진,IM4,1 감리위험요소평가,2 직권지정,영업손실,0
2022-09-30,18,선진,IM4,1 감리위험요소평가,2 직권지정,부의 영업현금흐름,0
2022-09-30,18,선진,IM4,1 감리위험요소평가,3 관리종목,매출액기준,0
2022-09-30,18,선진,IM4,2 감사인 감리 대상 개별감사업무 선정,1 개별감사업무 선정,재무비율,1
