재무제표종류,재무제표구분,연결/별도,회사명,Industry,상장시장,결산기준일,Year,보고서종류,항목명,주요계정,계정코드,당기,전기
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,대덕전자,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,1.21945E+12,9.46516E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,대덕전자,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,3.83592E+11,2.56974E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,대덕전자,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,8.3586E+11,6.89542E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,대웅제약,Healthcare,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,1.35807E+12,1.25966E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,대웅제약,Healthcare,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,6.82036E+11,6.4539E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,대웅제약,Healthcare,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,6.76038E+11,6.14265E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,동원산업,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,1.74988E+12,1.63544E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,동원산업,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,8.24313E+11,8.17823E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,동원산업,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   분기말,자본총계,C,9.25567E+11,8.17614E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,롯데케미칼,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,1.85318E+13,1.74274E+13
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,롯데케미칼,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,6.31906E+12,5.08845E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,롯데케미칼,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,1.22128E+13,1.2339E+13
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,명신산업,Automotive,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,2.4488E+11,2.25144E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,명신산업,Automotive,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,54646218412,53588246942
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,명신산업,Automotive,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,1.90234E+11,1.71555E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,사조오양,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,3.26801E+11,3.15948E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,사조오양,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,1.20775E+11,1.19244E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,사조오양,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,2.06026E+11,1.96705E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,삼성SDI,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,1.90126E+13,1.6845E+13
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,삼성SDI,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,6.49738E+12,4.85213E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,삼성SDI,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,1.25152E+13,1.19929E+13
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,선진,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,1.00596E+12,8.18686E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,선진,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,6.55981E+11,4.1907E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,선진,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,3.4998E+11,3.99616E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,신세계건설,Construction,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,7.94809E+11,8.28998E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,신세계건설,Construction,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,5.71474E+11,6.02861E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,신세계건설,Construction,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,2.23334E+11,2.26138E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,신세계푸드,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,8.66458E+11,8.71653E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,신세계푸드,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,5.74572E+11,5.8687E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,신세계푸드,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,2.91886E+11,2.84783E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,신테카바이오,Technology,KOSDAQ,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,57984332357,67651592757
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,신테카바이오,Technology,KOSDAQ,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,29265612643,40010598116
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,신테카바이오,Technology,KOSDAQ,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,28718719714,27640994641
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,아세아시멘트,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,1.18072E+12,1.17115E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,아세아시멘트,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,3.48517E+11,3.69246E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,아세아시멘트,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,8.32199E+11,8.01905E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,에스디바이오센서,Healthcare,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,3.67939E+12,2.94343E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,에스디바이오센서,Healthcare,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,4.46152E+11,7.50308E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,에스디바이오센서,Healthcare,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,3.23324E+12,2.19312E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,에스엠,Media,KOSDAQ,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,7.76278E+11,7.05293E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,에스엠,Media,KOSDAQ,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,2.5232E+11,2.53256E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,에스엠,Media,KOSDAQ,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,5.23959E+11,4.52038E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,에이블씨엔씨,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,1.76446E+11,1.72713E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,에이블씨엔씨,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,51982134563,53577524544
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,에이블씨엔씨,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,1.24464E+11,1.19135E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,엔에이치엔,Technology,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,1.84865E+12,1.9069E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,엔에이치엔,Technology,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,91393988772,1.79562E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,엔에이치엔,Technology,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,1.75725E+12,1.72734E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,이수화학,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,9.92043E+11,9.86685E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,이수화학,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,4.52223E+11,4.71692E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,이수화학,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,5.3982E+11,5.14992E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,인포뱅크,Telecommunications,KOSDAQ,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,74115883861,80945285932
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,인포뱅크,Telecommunications,KOSDAQ,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,16389214091,22226969787
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,인포뱅크,Telecommunications,KOSDAQ,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,57726669770,58718316145
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,일동제약,Healthcare,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,6.96709E+11,6.89903E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,일동제약,Healthcare,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,4.64758E+11,5.37931E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,일동제약,Healthcare,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,2.31951E+11,1.51972E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,진양홀딩스,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,2.48451E+11,2.59009E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,진양홀딩스,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,26049853763,27999977972
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,진양홀딩스,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,2.22401E+11,2.31009E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,카카오,Technology,KOSDAQ,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,1.20217E+13,1.00247E+13
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,카카오,Technology,KOSDAQ,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,4.20292E+12,3.47045E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,카카오,Technology,KOSDAQ,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,7.81878E+12,6.5542E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,케이씨씨,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,8.57062E+12,8.81037E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,케이씨씨,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,3.86726E+12,3.75675E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,케이씨씨,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,4.70336E+12,5.05362E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,케이씨텍,Technology,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,4.79346E+11,4.53026E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,케이씨텍,Technology,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,60681828930,67862265059
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,케이씨텍,Technology,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,4.18664E+11,3.85163E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,케이탑리츠,Real Estate,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,2.62527E+11,2.477E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,케이탑리츠,Real Estate,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,1.7546E+11,1.61399E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,케이탑리츠,Real Estate,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,87066877537,86300918857
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,코오롱,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,1.40523E+12,1.22642E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,코오롱,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,8.48493E+11,7.14491E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,코오롱,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,5.56732E+11,5.11931E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,코오롱플라스틱,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,3.81764E+11,3.68804E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,코오롱플라스틱,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,1.36184E+11,1.46024E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,코오롱플라스틱,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,2.4558E+11,2.2278E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,크라운제과,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,3.39843E+11,3.2457E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,크라운제과,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,1.59453E+11,1.64015E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,크라운제과,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,1.80391E+11,1.60555E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,크라운해태홀딩스,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,3.55021E+11,3.55741E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,크라운해태홀딩스,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,53365668039,56766597819
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,크라운해태홀딩스,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,3.01655E+11,2.98975E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,크래프톤,Technology,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,5.95776E+12,5.48105E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,크래프톤,Technology,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,7.52563E+11,8.88975E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,크래프톤,Technology,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,5.20519E+12,4.59208E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,팜스코,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,1.18065E+12,8.55525E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,팜스코,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,9.6543E+11,5.45284E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,팜스코,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,2.15224E+11,3.1024E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,퍼스텍,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,1.94887E+11,1.85613E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,퍼스텍,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,1.60456E+11,1.42208E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,퍼스텍,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,34431230201,43404056850
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,한국항공우주,Aviation,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,6.05197E+12,5.79463E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,한국항공우주,Aviation,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,4.63729E+12,4.50603E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,한국항공우주,Aviation,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,1.41468E+12,1.2886E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,한신공영,Construction,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,1.84617E+12,1.85465E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,한신공영,Construction,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,1.16241E+12,1.19443E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,한신공영,Construction,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,6.83767E+11,6.60218E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,한올바이오파마,Healthcare,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,1.86222E+11,1.98274E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,한올바이오파마,Healthcare,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,32202442882,34844149764
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,한올바이오파마,Healthcare,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,1.54019E+11,1.6343E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,한일현대시멘트,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,6.05383E+11,5.96794E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,한일현대시멘트,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,2.80673E+11,2.7259E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,한일현대시멘트,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   분기말자본,자본총계,C,3.2471E+11,3.24203E+11
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,한진,Services,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,2.85036E+12,2.81274E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,한진,Services,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,1.50679E+12,1.47945E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,한진,Services,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,1.34357E+12,1.33329E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,한화솔루션,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,1.78678E+13,1.53101E+13
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,한화솔루션,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,9.12442E+12,7.46743E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,한화솔루션,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,8.74336E+12,7.84263E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,현대중공업,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,1.78625E+13,1.50788E+13
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,현대중공업,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,1.24214E+13,9.48464E+12
"재무상태표, 유동/비유동법-별도재무제표",BS,별도,현대중공업,Industrial Products,KOSPI,2022-09-30,2022,3분기보고서,   분기말자본,자본총계,C,5.44104E+12,5.59413E+12
"재무상태표, 유동/비유동법-연결재무제표",BS,연결,BGF리테일,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,2.92202E+12,2.59638E+12
"재무상태표, 유동/비유동법-연결재무제표",BS,연결,BGF리테일,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   부채총계,부채총계,B,2.0124E+12,1.78706E+12
"재무상태표, 유동/비유동법-연결재무제표",BS,연결,BGF리테일,Consumer Products,KOSPI,2022-09-30,2022,3분기보고서,   자본총계,자본총계,C,9.09618E+11,8.09319E+11
"재무상태표, 유동/비유동법-연결재무제표",BS,연결,CJ CGV,Media,KOSPI,2022-09-30,2022,3분기보고서,   자산총계,자산총계,A,4.00359E+12,3.78549E+12
